CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
17850.0,301.0,35.0,5288.63,1,4,4,144
13047.0,31.0,18.0,3079.1,3,4,4,344
12583.0,2.0,18.0,7187.34,4,4,4,444
13748.0,95.0,5.0,948.25,2,3,3,233
15100.0,329.0,6.0,635.1,1,4,2,142
15291.0,25.0,20.0,4596.51,3,4,4,344
14688.0,7.0,27.0,5107.38,4,4,4,444
17809.0,15.0,15.0,4627.62,4,4,4,444
15311.0,0.0,118.0,59419.340000000004,4,4,4,444
14527.0,2.0,86.0,7711.38,4,4,4,444
16098.0,87.0,7.0,2005.63,2,4,4,244
18074.0,373.0,1.0,489.6,1,1,2,112
17420.0,49.0,3.0,598.83,3,2,2,322
16029.0,38.0,76.0,50992.61,3,4,4,344
16250.0,260.0,2.0,389.44,1,2,2,122
12431.0,35.0,18.0,6416.39,3,4,4,344
17511.0,2.0,46.0,88125.38,4,4,4,444
17548.0,217.0,3.0,-141.48,1,2,1,121
13705.0,7.0,3.0,711.86,4,2,3,423
13747.0,373.0,1.0,79.6,1,1,1,111
13408.0,1.0,81.0,27487.41,4,4,4,444
13767.0,1.0,52.0,16945.71,4,4,4,444
17924.0,0.0,13.0,2894.33,4,4,4,444
13448.0,16.0,10.0,3465.67,4,4,4,444
15862.0,7.0,4.0,832.88,4,3,3,433
15513.0,30.0,22.0,14520.08,3,4,4,344
12791.0,373.0,1.0,192.60000000000002,1,1,1,111
16218.0,29.0,8.0,3054.87,3,4,4,344
14045.0,108.0,4.0,1659.75,2,3,4,234
14307.0,88.0,6.0,2995.72,2,4,4,244
17908.0,373.0,1.0,243.28,1,1,1,111
17920.0,3.0,17.0,4204.1,4,4,4,444
,,,,1,4,4,144
12838.0,33.0,2.0,683.13,3,2,3,323
13255.0,3.0,3.0,390.66,4,2,2,422
16583.0,373.0,1.0,233.45,1,1,1,111
18085.0,329.0,2.0,689.95,1,2,3,123
13758.0,11.0,7.0,3190.55,4,4,4,444
13694.0,3.0,60.0,62653.1,4,4,4,444
15983.0,21.0,4.0,1475.02,3,3,3,333
14849.0,21.0,28.0,7904.28,3,4,4,344
17968.0,373.0,1.0,277.35,1,1,1,111
16210.0,1.0,18.0,21086.3,4,4,4,444
17897.0,172.0,4.0,541.1,1,3,2,132
17377.0,23.0,21.0,3925.92,3,4,4,344
16552.0,242.0,2.0,379.73,1,2,2,122
17181.0,56.0,2.0,239.92000000000002,2,2,1,221
17951.0,39.0,4.0,990.8400000000001,3,3,3,333
14729.0,373.0,1.0,313.49,1,1,2,112
12748.0,0.0,224.0,29072.1,4,4,4,444
15012.0,53.0,2.0,423.04,2,2,2,222
12868.0,185.0,6.0,1607.0600000000002,1,4,3,143
17572.0,70.0,4.0,226.75000000000003,2,3,1,231
14078.0,101.0,6.0,1049.37,2,4,3,243
14001.0,45.0,4.0,2030.3300000000002,3,3,4,334
12662.0,0.0,12.0,3817.08,4,4,4,444
15525.0,1.0,4.0,811.02,4,3,3,433
14237.0,372.0,1.0,161.0,1,1,1,111
17905.0,70.0,4.0,800.24,2,3,3,233
15485.0,29.0,3.0,2575.0,3,2,4,324
12433.0,0.0,7.0,13375.87,4,4,4,444
16955.0,184.0,5.0,493.67,1,3,2,132
15350.0,372.0,1.0,115.65,1,1,1,111
15605.0,35.0,5.0,1198.23,3,3,3,333
18144.0,7.0,12.0,2888.75,4,4,4,444
15922.0,371.0,2.0,363.6,1,2,2,122
14594.0,6.0,2.0,379.83,4,2,2,422
15165.0,372.0,1.0,487.75,1,1,2,112
14911.0,0.0,248.0,132572.62,4,4,4,444
16456.0,98.0,5.0,2158.37,2,3,4,234
17841.0,1.0,169.0,40340.78,4,4,4,444
12472.0,30.0,13.0,6229.48,3,4,4,344
17346.0,3.0,16.0,2611.58,4,4,4,444
